"text_data","tax","abortion","economy","education","energy","environment","unemployment"
"Brewerês Immigration Blast At Obama Looks Like A Dud | TPMMuckraker http://t.co/ApSVHtdE",0,0,0,0,0,0,0
"RT @Salon: ""Iêm not worried about the deficit. It is big enough to take care of itself."" -Ronald Reagan http://t.co/whvL9Vs0 #GOP2012 #RNC",0,0,0,0,0,0,0
"RT @mattdizwhitlock: For every dem parroting the BS ""Ryan wants to destroy medicare as we know it"" talking pt, watch him debunk your err ...",0,0,0,0,0,0,0
"RT @TylerKathy: RT Media / Journalist: JUST ASK ROMNEY IF HE TOOK ADVANTAGE OF FOREIGN DISCLOSURE PROGRAM! Do your jobs! 63% polled want ...",0,0,0,0,0,0,1
"RT @NervyBastard: Every fact-checking outfit says Obama has NOT gutted Medicare. It's time you (cont) http://t.co/L5tf1S7A",0,0,0,0,0,0,0
"RT @mattbors: New comic: Mitt Romney's Tax Secret http://t.co/G1klb8Kh",1,0,0,0,0,0,0
"RT @Ivanroberson: Romney Invested In Company That Is Outsourcing Jobs, Forcing Workers To Train Their Chinese Replacements http://t.co/E ...",0,0,0,0,0,0,1
"17% of Americans still think Obama's a Muslim. And they're not OK with it. http://t.co/9Z7Zfgwf",0,0,0,0,0,0,0
"–@sarah_hinds76: #IDontSupportObama because how can you understand how to create real jobs if you've never had one?” #obama",0,0,0,0,0,0,1
"U.S. News & World Report Murphy, Bartolomeo Support Obama's Health Care ActPatch.comRosa DeLauro, D-3rd, and Chris... http://t.co/c89LYqzT",0,0,0,0,0,0,0
"RT: mmfa: ""Bombshell"" accusation that Obama took ""2 years to make a decision to act"" on Bin Laden deserves a solid F... http://t.co/NhwHNkWd",0,0,0,0,0,0,0
"RT @Andreatellsall: –@KLSouth: Obama does not differentiate between F/T and P/T into •jobs createdê calculations... http://t.co/aZ67z8j ...",0,0,0,0,0,0,1
"RT @newsbusters: Romney Advisor Slaps Down Andrea Mitchellês Claim That Romneyês Statement on Palestinians Was •Deeply Offensiveê http: ...",0,0,0,0,0,0,0
"@precioustrice Each candidate policies. Hell Obama never passed a budget yet which law requires him to do so.",0,0,0,0,0,0,0
"RT @RedState: Not All Union Bosses Support Obamaês Job-Killing War On Coal http://t.co/lww8z4Rm #TCOT #RS",0,0,0,0,1,0,0
