ID,User.ID,text,abortion,economy,education,energy,environment,fedbudget,foreignaffairs,government,healthcare,immigration,lgbt,middleclass,publicorder,taxes,unemployment,welfare
1,229428507_1345126692515,Brewerês Immigration Blast At Obama Looks Like A Dud | TPMMuckraker http://t.co/ApSVHtdE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,67022077_1346188503617,"RT @Salon: ""Iêm not worried about the deficit. It is big enough to take care of itself."" -Ronald Reagan http://t.co/whvL9Vs0 #GOP2012 #RNC",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,16004747_1344767753742,"RT @mattdizwhitlock: For every dem parroting the BS ""Ryan wants to destroy medicare as we know it"" talking pt, watch him debunk your err ...",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,156641280_1345139761024,RT @TylerKathy: RT Media / Journalist: JUST ASK ROMNEY IF HE TOOK ADVANTAGE OF FOREIGN DISCLOSURE PROGRAM! Do your jobs! 63% polled want ...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,17154875_1345678807440,RT @NervyBastard: Every fact-checking outfit says Obama has NOT gutted Medicare. It's time you (cont) http://t.co/L5tf1S7A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,726776941_1344447196486,RT @mattbors: New comic: Mitt Romney's Tax Secret http://t.co/G1klb8Kh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,17114473_1345933492261,"RT @Ivanroberson: Romney Invested In Company That Is Outsourcing Jobs, Forcing Workers To Train Their Chinese Replacements http://t.co/E ...",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8,21174995_1344606247797,17% of Americans still think Obama's a Muslim. And they're not OK with it. http://t.co/9Z7Zfgwf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,236182540_1344286651848,–@sarah_hinds76: #IDontSupportObama because how can you understand how to create real jobs if you've never had one?” #obama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,388063089_1346414560805,"U.S. News & World Report Murphy, Bartolomeo Support Obama's Health Care ActPatch.comRosa DeLauro, D-3rd, and Chris... http://t.co/c89LYqzT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,483429828_1345574223163,"RT: mmfa: ""Bombshell"" accusation that Obama took ""2 years to make a decision to act"" on Bin Laden deserves a solid F... http://t.co/NhwHNkWd",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,28473012_1344583048376,RT @Andreatellsall: –@KLSouth: Obama does not differentiate between F/T and P/T into •jobs createdê calculations... http://t.co/aZ67z8j ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,20952906_1343856461232,RT @newsbusters: Romney Advisor Slaps Down Andrea Mitchellês Claim That Romneyês Statement on Palestinians Was •Deeply Offensiveê http: ...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,143264454_1345180153436,@precioustrice Each candidate policies. Hell Obama never passed a budget yet which law requires him to do so.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,189134562_1345495141158,RT @RedState: Not All Union Bosses Support Obamaês Job-Killing War On Coal http://t.co/lww8z4Rm #TCOT #RS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,21717987_1343928124700,Mitt Romneyês Plan will INCREASE Middle Class Taxes. @stefcutter http://t.co/gOmMmc2b @GottaLaff #p2 #tcot,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17,33787443_1343914372996,RT @current: Mitt Romney wants the middle class to pay $500 more in taxes so the rich can get richer http://t.co/pnhHBfc2 @TYTonCurrent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
